method,r2,rmse,mae,train_end,test_month_start,test_month_end,n_train,n_test,city,pollutant
baseline_global_mean,-0.00524991733547453,5.456589125044116,4.503169729868703,2022-09-01,2022-09-01,2022-10-01,607,66,milwaukee,no2
baseline_persistence,0.522827263239706,3.7594303334322574,2.925938878787879,2022-09-01,2022-09-01,2022-10-01,607,66,milwaukee,no2
model_random_forest,0.7334458102957765,2.809810212727866,2.1880362152720063,2022-09-01,2022-09-01,2022-10-01,607,66,milwaukee,no2
model_hist_gradient_boosting,0.7650911397137576,2.6377518056427656,1.9824869735295552,2022-09-01,2022-09-01,2022-10-01,607,66,milwaukee,no2
baseline_global_mean,-0.10873919484404082,6.038927784545501,4.666024887096773,2022-10-01,2022-10-01,2022-11-01,673,62,milwaukee,no2
baseline_persistence,0.396139334752443,4.456701084910866,3.5733860161290325,2022-10-01,2022-10-01,2022-11-01,673,62,milwaukee,no2
model_random_forest,0.7156050619360423,3.05848297282649,2.5225349733699294,2022-10-01,2022-10-01,2022-11-01,673,62,milwaukee,no2
model_hist_gradient_boosting,0.7252405118141199,3.00622502230253,2.4780581857172463,2022-10-01,2022-10-01,2022-11-01,673,62,milwaukee,no2
baseline_global_mean,-0.14239146253517876,7.4193679541242545,5.5046241729931955,2022-11-01,2022-11-01,2022-12-01,735,60,milwaukee,no2
baseline_persistence,0.14936661650533434,6.402220783166391,4.970317316666666,2022-11-01,2022-11-01,2022-12-01,735,60,milwaukee,no2
model_random_forest,0.6860037561705108,3.889749753254793,2.970806642176337,2022-11-01,2022-11-01,2022-12-01,735,60,milwaukee,no2
model_hist_gradient_boosting,0.7183622144584472,3.6838750890115755,3.00807101023615,2022-11-01,2022-11-01,2022-12-01,735,60,milwaukee,no2
baseline_global_mean,-0.023409422681768488,4.8020741529206585,3.9572192580645162,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2
baseline_persistence,0.09059542665982911,4.526710528916928,3.307579725806451,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2
model_random_forest,0.671400355289905,2.7210573875259865,2.1614774783041675,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2
model_hist_gradient_boosting,0.6616361524500742,2.7611889950242032,2.1921229500533768,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2
